positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"صفحه نمايش
بلندگو","تاچ پد بسيار بزرگ مزاحم ميشود گاهي
باتري ها نسبت به بقيه مکبوک ها","تاچ پد چون بزرگه مابین تایپ کردن باعث کلیک بیجا میشود .. باتری هم نسبت به بقیه مک ها ضعیف عمل میکند",0,2,1,2,2,5,2,3
,,"اصلا هیچ برندی توان مقابله با اپل رو نداره",13,35,5,5,5,5,5,5
,,"تو یک کلام ""حرف نداره""
واقعا بی رقیبه",11,31,5,5,5,5,5,5
"کيبورد عالي
سي پي يو قدرتمند
فناوري تاچ بار
صفحه نمايش با کيفيت و درخشش عالي
عملکرد بسيار بالا (geekbech4)","عدم استفاده از رم هاي DDR4
قيمت بالا
پردازنده گرافيکي در اين گزينه ضعيف است.","اگر قیمت بالا برای شما مسئله نیست و می خواهید با لپتاپ خود مدت زیادی از روز را سپری کنید حتما این لپ تاپ را پیشنهاد می کنم. بنچ مارک های این لپتاپ فوقالعادست. مخصوصا به دوستان برنامه نویس و کسانی که کار های مربوط به آی تی انجام میدهند به شدت توصیه می کنم. البته به هیچ وجه این لپ تاپ برای بازی نیست و با این پول گزینه های خیلی بهتری مانند سری ROG ASUS هستش که لذت بازی را براتون دو چندان می کند.
خیلی از دوستان صحبت از لپ تاپ هایی میکنند که با این قیمت سیستم قوی تری دارند ؛ که البته درست است ولی مشخصات سیستم قویتر (منظور رم بالاتر / هارد بیشتر / ....)همواره عملکرد بهتری را نمیدهد. benchmarkهای سیستم های مختلف در اینترنت هست میتوانیم بدون بحث های بیجا به صورت علمی و با عدد های موثق لپتاپ ها را مقایسه کنیم . این لپ تاپ از دید سایت laptopmag جزو 10 لپ تاپ برتر سال 2016 انتخاب شده است.",28,7,3,5,4,5,4,5
,,"سلام و عرض ادب
از بعضی اظهارنظر ها واقعا تعجب میکنم . این یکی از قدرتمندترین لب تاپ های موجود در بازار هستش که کارایی فوق العاده ای داره و اصلا کم نمیاره ! اگر کار سنگین گرافیکی دارین و میخواین چندین نرم افزار رو باهم اجرا کنید و اینکه ماشین های مجازی متفاوتی رو همزمان اجرا کنید سراغ این محصول برید. درسته که قیمت بالایی داره اما یکبار هزینه میکنید و تا چند سال استفاده .من که ازش خیلیییی راضی هستم. پیشنهاد میکنم حتما بخرید اگر از لب تاپ خودتون میخواین کار سنگین بکشین.",4,9,5,5,5,5,5,5
"تاچ بار
سخت افزار
ترک پد بي نظير
صفحه نمايش","عمر متوسط باتري هنگام اجراي برنامه سنگين
حد اقل يه پورت usb معمولي بود بهتر ميشد","من این لپ تاپ رو دارم و بعد دو ماه که باهاش کار کردم میتونم اینو بگم که اگه به کار کردن با تاچ بار عادت بکنید کاراییش کم نیست و اصلا اینطوری نیست که فقط باهاش پیانو بزنی همه اپ های دیفالت اپل به علاوه برنامه های مهمی مثل فوتوشاپ باهاش مچ هستن کارتو راحت میکنن ، مثل لپ تاپ های لمسی صفحه نمایش کثیف نمیشه برای پخش ویدیو و جلو و عقب کردن هم خیلی به کار میاد ولی بعضی ایرادها هم داره که تو هر دستگاهی هست و هیچ دستگاهی بی ایراد نیست البته قیمتش جوری نیست که خیلیا بتونن به خریدش فکر کنن ولی اگه پولش رو دارید به نطر من به صرفه تر از لپ تاپ های ویندوزی با قیمت مشابه هستش",10,24,4,5,5,5,5,5
"طراحي
کيبرد و تاچ پد
عمر باتري
سخت افزار
صفحه نمايش و بلندگو ها","طبق معمول قيمت","من خودم یکی از طرفدار های لپتاپ های اپلم ولی حس میکنم این سری جدید به قول معروف اون حس و حال قبل رو نداره مثلا اینکه تو ایفون 7 پورت aux رو حذف کردن گفتن دیگه قدیمی شده و نیازی بهش نیست ولی توی این سری لپتاپ ها دوباره اوردنش بعدش نوار تاچ ایدی رو گذاشتن که خودشون هم نمیدونن کاربردش چیه خوب شاید الان یه سری بیان بگن که اره کلی کار میشه باهاش کرد ولی باید گفت که همون کار ها با دکمه های فانکشن هم قبلا انجام میشد تنها کاربردی که ازش دیدم این بود که ییه نفر داشت باهاش پیانو میزد
نمیگم نوار تاچ ایدی چیز بدیه ولی جاش اینجا نیست اگر هم که باشه باید یه کاربردی داشته باشه که بگیم اره خوب قبلا نمیشد این کارا رو انجام داد حالا که این نوار لمسیه اومده کار ما راحت تر شده الان ترکیب این نوار لمسی و لپتاپ شده مثل شلوار پارچه ای و کفش کتونی جفتشون خوبن ولی با هم چندان جالب نیست.",26,8,3,5,5,5,3,5
,,"خیلی معیارهای دیگه در کیفیت تجربه کاربر مهمه که در مشخصات سخت افزاری معلوم نمی شه. این لپ تاپ غیر ویندوزیه و حتی با «مشخصات» پایینتر کارایی بهتری از لپ تاپهای ویندوزی داره. تنها راه درست مقایسه اینه که با هر دوتاش یه مدت کارکنید تا دستتون بیاد. چون شما مثل کسایی که کامپیوتر جمع می کنند مقایسه می کنید در مورد رم ddr4 خدمتتون بگم اپل رم کم مصرف یا LP استفاده می کنه و برای پردازنده های رده skylake نمی شه رم LPDDR4 استفاده کرد. با آمدن kabylake رم های اپل هم در سری بعدی بروز خواهد شد. لپ تاپهای قدیمی که رم ddr4 دارند از رم نوع دسکتاپ استفاده می کنند که مصرف باتری رو بالا می بره. اپل بهمین خاطر تاحالا دست نگه داشته.",19,4,4,5,5,5,4,5
,,"دوستان تو این که او اس ایکس سیستم عامل فوق العاده ای هست شکی نیست اما فکر نمی کنید چیزی به اسم نو آوری تو این لپتاپ نیست بجز سی پی یو که من اطلاع کاملی در موردش نمیبینم ولی احتمالا 6700 هست رم این دستگاه ddr3 هست که دیگه باید فراموشش کرد با اومدن ddr4 که هم از نظر قدرت و هم از نظر توان مصرفی به صرفه تر هست من میدونم حالا بعضیا میان گیر میدن که ddr3 بهتره بعد اپل میاد ddr4 استفاده بکنه یادشون میفته که ddr3 بدرد نخوره
جدای از این بحسا تو این قیمت میشه gx700vh ایسوس رو دید که یه ابر لپتاپ محسوب میشه و تنها ایرادش متکی بودن به خنک کننده مایع در هنگام کار های سنگینه در غیر این صورت مشکلی نداره",16,17,0,5,5,5,0,5
,,"به جز قیمتش که البته منطقیه، تنها ایرادی که میتونم ازش بگیرم اینه که مشخصاتش برای کشور ما خیلی مناسب نیست! بدون درایو نوری و یک سری چیزای دیگه، یه جوری ساخته شده که کاملا به اینترنت و فضای مجازی متکی هستش که همچین چیزی در جایی که اینترنت 10 سال از کشور های دیگه عقب تره یه مقدار ممکنه کاربرش رو دچار مشکل کنه",30,35,3,5,5,5,5,5
,,"به نظر من این مک ارتقاء داده شده ی مک بوک ایر قدیمی است که برای افرادی که مکی جدید تر و ارزانتر از مک بوک پرو ها میخواهند مناسب است",4,46,5,5,5,5,5,5
,,"دیجی کالا بهترین سایته
ممنون از شما",26,10,5,5,5,5,5,5
"طراحي ( شاهکار) بسيار عالي","قيمت بالا","انگار همین دیروز بود دیجیکالا داشت به صورت زنده مراسم رونمایی اپل از دستگاه های جدید رو پوشش میداد من طراحی اپل رو خیلی قبول دارم یه نو اوری که پیش گام هستش برای همه ی رقبا کاملا مشهود توی طرح های اپل اگه پولشو دارید مطمئن باشید که گزینه ی اصلح پیش روی شماست ممنون از دیجیکالا که کالا های روز دنیارو میاره",39,24,3,5,5,5,5,3
"صفحه نمايش
تاچ پد و تاچ بار
سخت افزار فوق العاده","قيمت بالا
درگاه هاي ارتباطي","لب تاب ایده آل و کاربردی",32,17,2,5,5,5,3,5
