positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"پرسرعت
با کيفيت
گيرنده آنتن عالي","مشکل در USSD
قطع اينترنت ناقص","متاسفانه کدهای USSD کار نکرد و این واقعا دردسر ایجاد کرد برای من
موقع قطع اتصال از اینترنت به صورت دستی در تنظیمات فقط ارتباط داخلی قطع شده و هنگامی که دوباره به اینترنت متصل میشود همان آدرسIP اینترنت که قبلا گرفته بود را دوباره میگیرد.در واقع اتصال قطع نشده است و برای گرفتن آدرس IP جدید باید مودم را ریستارت کرد.
در کل راضی کننده می باشد
با تشکر از دیجی کالا",0,0,4,5,4,5,4
,,"جایی که با موبایل 3G به زور آنتن میده با این مودم 4G فول میشه استفاده کرد
یکم زیادی گرم میشه",0,0,3,5,3,3,3
"آنتن دهي عالي و سرعت مناسب","نداشتن آنتن خارجي همراه دستگاه","سرعت عالی و گزینه ای مناسب برای جایگزینی adsl می باشد . ضمنا بهتر است داخل تنظیمات مودم شده و انتخاب شبکه را از حالت اتوماتیک به فقط 4G تغییر داد تا بهترین سرعت را دریافت نمود.",1,0,5,5,5,5,5
,,"درود. تو تنظیماتش آنتن 4جی انتخاب کردم ولی کانکت نمیشه. تعداد انتنا 4 جی برا این مدل کمه . قبلا هم نوشتم تو هم مکانی که این مودم نصب هست مودم دیگه ای 4 جی کانکت میشه ولی متاسفانه این مدل نه. پیشنهاد من اینه که قبله خرید اگر کسی این مدلو داره ازش قرض بگیرین ببینین به کارتون میاد یا نه.",8,4,2,3,3,3,4
"ظراحي جمع و جور
سرعت بالا و پايدار در حالت 4G","قيمت بالا","با این مودم و سیم کارت 4G ایرانسل سرعت دریافت 20 Mbps دارم. البته باید بدونید که تا حد زیادی بسته به پوشش آنتن منطقه شما دارد.
برد وایرلس مودم بصورتی هست که در اتاقی دیگر با 20 متر فاصله از مودم، ضعیف می شود.",3,1,3,4,4,4,5
عالي,نداره,"من تو پیشنهاد ویژه خریدم پوشش wifi که عالیه قطع و وصلی نداره اصلا دوستی که میگه 3g میشه این مودم میتونین برین داخل تنظیمات و شبکه رو بزارین فقط رو LTE تا سوییچ نکنه رو 3g البته آنتن دهی 4g تو منطقتون خوب باشه اصلا سوییچ نمیکنه و رو 4g ثابت میمونه",8,3,5,5,5,5,5
,"آنتن هاي کم","درود. متاسفانه برای خونه گرفتم. مودم همراه tplink7350 تو خونه به شبکه 4gوصل میشه ولی این مودم یه بار به 4g وصل شد . تو همون مکان شرایط یکسان این مودم همش رو 3g هست. اگه با 3g مشکلی ندارید مودمه خوبیه . ولی برای 4g زیاد روش حساب باز نکنین. با کمی هزینه بیشتر مودم با انتن های بیشتر میشه تهیه کرد.",2,5,2,3,3,3,4
,,"باسلام به تمام دوستان میخواستم بدونم با سیم کارت های مختلف به غیر از ایرانسل هم دستگاه رو چک کردین آخه دستگاه من با رایتل وهمراه اول کارکردی نداره وفقط دو چراغ اول یعنی مربوط به پاور ووایرلسش روشن میشه اگه کسی تجربه این مورد رو داره یه راهنمایی کنه ممنون.در کل مودم خیلی خوبیه.",2,0,3,4,4,4,4
"آنتن دهي خوب حتي بدون آنتن خارجي
جمع و جور
قابليت ارسال و دريافت sms و کدهاي دستوري
آنتن دهي واي فاي خوب","نبود آنتن خارجي مناسب در دستگاه","برای کسانی که مثل من از قطع وصل شدن دائم و سرعت پایین اینترنت ADSL خسته شدن اگر منطقه شما تحت پوشش شبکه 4g هست . این مودم رو به شما توصیه می کنم و می تونه جایگزین مناسبی برای مودم ADSL شما باشه
از نظر آنتن دهی شبکه 4G هم توی منطقه ما سیم کارت من که ایرانسل هست روی گوشی آنتن دهی خوبی نداره ولی وقتی از این مودم استفاده می کنم آنتن کامل دارم.
از نظر آنتن دهی شبکه WI Fi هم درخونه ما کل دو طبقه رو به طور کامل پوشش می ده و آنتن خوبی داره.
سرعت دانلود اینترنت 4g هم که البته ارتباط مستقیم با ترافیک شبکه در اون ساعت از روز داره می تونه بین KB 600 تا 2.5 MB متغییر باشه که من این سرعت رو با ADSL هیچ وقت تجربه نکردم.
سیم کارت در پایین دستگاه و سیم کارت سایز کامل می خوره.
شما در پنل دستگاه هم می تونید به تنظیمات کامل دستگاه دسترسی داشته باشید و همین طور تنظمیات اینترنت سیم کارت. همچنین می تونید ارتباط اینترنتی رو قطع و وصل کنید.در پنل Advanced هم می تونید sms هاتون رو ببینید و هم کدهای دستوری رو ارسال کنید تا برای شارژ سیم کارت یا انتخاب طرح های اینترنت نیازی به استفاده از دستگاه دیگر نداشته باشید
شاید اگر یک آنتن خارجی هم درون جعبه دستگاه قرار می گرفت بهتر بود و در جاهایی که آنتن دهی ضعیف هست به کار میومد
در کل از خرید خودم راضیم به خصوص که در پیشنهاد ویژه خریدم و با قیمت مناسب تر",8,0,4,5,4,4,5
"قيمت فوق العاده نسبت به شهر ما( ارزان تر در فروش ويژه)
قدرت سيگنال دهي خوب حتي بدوون آنتن(بايد جداگانه تهيه شود)
داشتن LAN در کنار WIFI که براي گرفتن پينگ خوب وواقعا ضروري هست
داشتن WAN (عملا روتر هم هست!)
اتصال بدون نياز به تنظيمات فقط استفاده کن","سرعت واي فاي 300Mbit/s نيست و با دانگل سازگار هم 150 مگابيت بيشتر نميشه","ارسال برق آسا و عجیب!! از دیجی کالا عجیب بود چون تماس گرفتن گفتن 5 روزه میرسه جمعه دستم بود!!!!!!! تشکر بابت این.عالی بود 20
در مورد محصول. قدرت سیگنار گرفتنش رو که دوستان گفتن درسته واقعا مناسب هست و در حد 72dbm برای من که قبلا روی LET حدود 102 میگیرفتم.
تنها مشکلش اینه که وای فای سرعت واقعای 300 مگابیت رو نمیده. دانگلی که من استفاده کردم مدل 11AC دو بانده با پشتیبانی از MIMO و تمام فرکانس ها و استاندار ها بود(totolink A2000UA)
در همچین شرایطی من وارد تنظیمات مودم میشم و بند ویز روی upper و 40MHZ میزارم ولی متاسفانه در تنظیمات این مودم نبود... کسی اطلاعی داره لطفا بگه.
در کل من پیشنهاد میکنم اگر توی لیست مقایستون هست به این مورد فکر کنید.",5,0,5,4,4,4,4
"قيمت مناسب
برد وايرلس بالا
داراي 2 پورت lan , wan
پشتيباني از کد دستوري USSD
آنتن دهي بسيار عالي 4G",,"با توجه به قیمت پایین برای دفاتر و منازلی که دسترسی به اینترنت ADSL ندارد بسیار مناسب می باشد و به نسبت قیمت امکانات خوبی داره",17,3,5,5,5,5,5
"سرعت بسيار عالي
پايداري بسيار عالي ارتباط
کوچک و قابل حمل بودن
داغ نکردن",,"سرعت بسیار عالی ، کوچک و قابل حمل",7,51,4,4,4,4,4
